x,psi0,psi1,psi2
1e-09,1,0,0
2.5641e+07,0,1,0
5.12821e+07,0,0,1
7.69231e+07,0,0,0
1.02564e+08,0,0,0
1.28205e+08,0,0,0
1.53846e+08,0,0,0
1.79487e+08,0,0,0
2.05128e+08,0,0,0
2.30769e+08,0,0,0
2.5641e+08,0,0,0
2.82051e+08,0,0,0
3.07692e+08,0,0,0
3.33333e+08,0,0,0
3.58974e+08,0,0,0
3.84615e+08,0,0,0
4.10256e+08,0,0,0
4.35897e+08,0,0,0
4.61538e+08,0,0,0
4.87179e+08,0,0,0
5.12821e+08,0,0,0
5.38462e+08,0,0,0
5.64103e+08,0,0,0
5.89744e+08,0,0,0
6.15385e+08,0,0,0
6.41026e+08,0,0,0
6.66667e+08,0,0,0
6.92308e+08,0,0,0
7.17949e+08,0,0,0
7.4359e+08,0,0,0
7.69231e+08,0,0,0
7.94872e+08,0,0,0
8.20513e+08,0,0,0
8.46154e+08,0,0,0
8.71795e+08,0,0,0
8.97436e+08,0,0,0
9.23077e+08,0,0,0
9.48718e+08,0,0,0
9.74359e+08,0,0,0
1e+09,0,0,0
