x,psi
-1e-10,-nan(ind)
-9.8e-11,-nan(ind)
-9.6e-11,-nan(ind)
-9.4e-11,-nan(ind)
-9.2e-11,-nan(ind)
-9e-11,-nan(ind)
-8.8e-11,-nan(ind)
-8.6e-11,-nan(ind)
-8.4e-11,-nan(ind)
-8.2e-11,-nan(ind)
-8e-11,-nan(ind)
-7.8e-11,-nan(ind)
-7.6e-11,-nan(ind)
-7.4e-11,-nan(ind)
-7.2e-11,-nan(ind)
-7e-11,-nan(ind)
-6.8e-11,-nan(ind)
-6.6e-11,-nan(ind)
-6.4e-11,-nan(ind)
-6.2e-11,-nan(ind)
-6e-11,-nan(ind)
-5.8e-11,-nan(ind)
-5.6e-11,-nan(ind)
-5.4e-11,-nan(ind)
-5.2e-11,-nan(ind)
-5e-11,-nan(ind)
-4.8e-11,-nan(ind)
-4.6e-11,-nan(ind)
-4.4e-11,-nan(ind)
-4.2e-11,-nan(ind)
-4e-11,-nan(ind)
-3.8e-11,-nan(ind)
-3.6e-11,-nan(ind)
-3.4e-11,-nan(ind)
-3.2e-11,-nan(ind)
-3e-11,-nan(ind)
-2.8e-11,-nan(ind)
-2.6e-11,-nan(ind)
-2.4e-11,-nan(ind)
-2.2e-11,-nan(ind)
-2e-11,-nan(ind)
-1.8e-11,-nan(ind)
-1.6e-11,-nan(ind)
-1.4e-11,-nan(ind)
-1.2e-11,-nan(ind)
-1e-11,-nan(ind)
-8e-12,-nan(ind)
-6e-12,-nan(ind)
-4e-12,-nan(ind)
-2e-12,-nan(ind)
0,-nan(ind)
2e-12,-nan(ind)
4e-12,-nan(ind)
6e-12,-nan(ind)
8e-12,-nan(ind)
1e-11,-nan(ind)
1.2e-11,-nan(ind)
1.4e-11,-nan(ind)
1.6e-11,-nan(ind)
1.8e-11,-nan(ind)
2e-11,-nan(ind)
2.2e-11,-nan(ind)
2.4e-11,-nan(ind)
2.6e-11,-nan(ind)
2.8e-11,-nan(ind)
3e-11,-nan(ind)
3.2e-11,-nan(ind)
3.4e-11,-nan(ind)
3.6e-11,-nan(ind)
3.8e-11,-nan(ind)
4e-11,-nan(ind)
4.2e-11,-nan(ind)
4.4e-11,-nan(ind)
4.6e-11,-nan(ind)
4.8e-11,-nan(ind)
5e-11,-nan(ind)
5.2e-11,-nan(ind)
5.4e-11,-nan(ind)
5.6e-11,-nan(ind)
5.8e-11,-nan(ind)
6e-11,-nan(ind)
6.2e-11,-nan(ind)
6.4e-11,-nan(ind)
6.6e-11,-nan(ind)
6.8e-11,-nan(ind)
7e-11,-nan(ind)
7.2e-11,-nan(ind)
7.4e-11,-nan(ind)
7.6e-11,-nan(ind)
7.8e-11,-nan(ind)
8e-11,-nan(ind)
8.2e-11,-nan(ind)
8.4e-11,-nan(ind)
8.6e-11,-nan(ind)
8.8e-11,-nan(ind)
9e-11,-nan(ind)
9.2e-11,-nan(ind)
9.4e-11,-nan(ind)
9.6e-11,-nan(ind)
9.8e-11,-nan(ind)
